;qid;Len;Den;P1;P2;P3;P4;P5
22623;;2871351_+;TSS;2871351;+;;Q4;LB_2.0
22624;;2871410_-;TSS;2871410;-;;Q4;M63_0.4
22625;;2871410_-;TSS;2871410;-;;Q4;M63_0.4
22626;;2871410_-;TSS;2871410;-;;Q4;LB_0.4
22627;;2871410_-;TSS;2871410;-;;Q4;LB_0.4
22628;;2871410_-;TSS;2871410;-;;Q4;LB_2.0
22629;;2871410_-;TSS;2871410;-;;Q4;LB_2.0
22630;;2871432_+;TSS;2871432;+;;Q4;M63_0.4
22631;;2871432_+;TSS;2871432;+;;Q4;M63_0.4
22632;;2871432_+;TSS;2871432;+;;Q4;LB_0.4
22633;;2871432_+;TSS;2871432;+;;Q4;LB_0.4
22634;;2871432_+;TSS;2871432;+;;Q4;LB_2.0
22635;;2871432_+;TSS;2871432;+;;Q4;LB_2.0
22636;;2872304_-;TSS;2872304;-;;Q4;M63_0.4
22637;;2872304_-;TSS;2872304;-;;Q4;M63_0.4
22638;;2872304_-;TSS;2872304;-;;Q4;LB_0.4
22639;;2872304_-;TSS;2872304;-;;Q4;LB_0.4
22640;;2872304_-;TSS;2872304;-;;Q4;LB_2.0
22641;;2872304_-;TSS;2872304;-;;Q4;LB_2.0
22642;;2872907_-;TSS;2872907;-;;Q4;M63_0.4
22643;;2872907_-;TSS;2872907;-;;Q4;LB_2.0
22644;;2873047_+;TSS;2873047;+;;Q4;M63_0.4
22645;;2873047_+;TSS;2873047;+;;Q4;LB_0.4
22646;;2873121_+;TSS;2873121;+;;Q4;M63_0.4
22647;;2873121_+;TSS;2873121;+;;Q4;LB_0.4
22648;;2873121_+;TSS;2873121;+;;Q4;LB_2.0
22649;;2874004_-;TSS;2874004;-;;Q4;LB_2.0
22650;;2874129_+;TSS;2874129;+;;Q4;M63_0.4
22651;;2874129_+;TSS;2874129;+;;Q4;LB_0.4
22652;;2874129_+;TSS;2874129;+;;Q4;LB_2.0
22653;;2874392_-;TSS;2874392;-;;Q4;M63_0.4
22654;;2874392_-;TSS;2874392;-;;Q4;LB_2.0
22655;;2874569_+;TSS;2874569;+;;Q4;M63_0.4
22656;;2874569_+;TSS;2874569;+;;Q4;LB_0.4
22657;;2874569_+;TSS;2874569;+;;Q4;LB_2.0
22658;;2874614_+;TSS;2874614;+;;Q4;M63_0.4
22659;;2874614_+;TSS;2874614;+;;Q4;LB_0.4
22660;;2874614_+;TSS;2874614;+;;Q4;LB_2.0
22661;;2874771_-;TSS;2874771;-;;Q4;M63_0.4
22662;;2874771_-;TSS;2874771;-;;Q4;LB_2.0
22663;;2874855_+;TSS;2874855;+;;Q4;M63_0.4
22664;;2874855_+;TSS;2874855;+;;Q4;LB_0.4
22665;;2874855_+;TSS;2874855;+;;Q4;LB_2.0
22666;;2874935_-;TSS;2874935;-;;Q4;M63_0.4
22667;;2874935_-;TSS;2874935;-;;Q4;LB_0.4
22668;;2874935_-;TSS;2874935;-;;Q4;LB_2.0
22669;;2875214_-;TSS;2875214;-;;Q4;LB_2.0
22670;;2875594_-;TSS;2875594;-;;Q4;M63_0.4
22671;;2875594_-;TSS;2875594;-;;Q4;LB_0.4
22672;;2875594_-;TSS;2875594;-;;Q4;LB_2.0
22673;;2875610_+;TSS;2875610;+;;Q4;M63_0.4
22674;;2875610_+;TSS;2875610;+;;Q4;LB_0.4
22675;;2875610_+;TSS;2875610;+;;Q4;LB_2.0
22676;;2877024_+;TSS;2877024;+;;Q4;LB_2.0
22677;;2877567_-;TSS;2877567;-;;Q4;M63_0.4
22678;;2877567_-;TSS;2877567;-;;Q4;LB_0.4
22679;;2877567_-;TSS;2877567;-;;Q4;LB_2.0
22680;;2878095_+;TSS;2878095;+;;Q4;M63_0.4
22681;;2878095_+;TSS;2878095;+;;Q4;LB_0.4
22682;;2878095_+;TSS;2878095;+;;Q4;LB_2.0
22683;;2878352_+;TSS;2878352;+;;Q4;M63_0.4
22684;;2878352_+;TSS;2878352;+;;Q4;M63_0.4
22685;;2878521_-;TSS;2878521;-;;Q4;LB_2.0
22686;;2878521_-;TSS;2878521;-;;Q4;LB_2.0
22687;;2878560_+;TSS;2878560;+;;Q4;LB_2.0
22688;;2878799_+;TSS;2878799;+;;Q4;M63_0.4
22689;;2878799_+;TSS;2878799;+;;Q4;LB_0.4
22690;;2878909_-;TSS;2878909;-;;Q4;M63_0.4
22691;;2878909_-;TSS;2878909;-;;Q4;LB_0.4
22692;;2878909_-;TSS;2878909;-;;Q4;LB_2.0
22693;;2879340_+;TSS;2879340;+;;Q4;M63_0.4
22694;;2879340_+;TSS;2879340;+;;Q4;LB_2.0
22695;;2880146_-;TSS;2880146;-;;Q4;M63_0.4
22696;;2880146_-;TSS;2880146;-;;Q4;LB_2.0
22697;;2881875_-;TSS;2881875;-;;Q4;M63_0.4
22698;;2881875_-;TSS;2881875;-;;Q4;LB_2.0
22699;;2881939_-;TSS;2881939;-;;Q4;M63_0.4
22700;;2881939_-;TSS;2881939;-;;Q4;LB_0.4
22701;;2881939_-;TSS;2881939;-;;Q4;LB_2.0
22702;;2882069_-;TSS;2882069;-;;Q4;LB_2.0
22703;;2882213_-;TSS;2882213;-;;Q4;LB_2.0
22704;;2882505_+;TSS;2882505;+;;Q4;M63_0.4
22705;;2882505_+;TSS;2882505;+;;Q4;LB_0.4
22706;;2882505_+;TSS;2882505;+;;Q4;LB_2.0
22707;;2882536_-;TSS;2882536;-;;Q4;LB_2.0
22708;;2882555_+;TSS;2882555;+;;Q4;LB_2.0
22709;;2883154_+;TSS;2883154;+;;Q4;LB_2.0
22710;;2883276_-;TSS;2883276;-;;Q4;M63_0.4
22711;;2883488_-;TSS;2883488;-;;Q4;M63_0.4
22712;;2883568_-;TSS;2883568;-;;Q4;M63_0.4
22713;;2883568_-;TSS;2883568;-;;Q4;LB_0.4
22714;;2883568_-;TSS;2883568;-;;Q4;LB_2.0
22715;;2883602_+;TSS;2883602;+;;Q4;M63_0.4
22716;;2883602_+;TSS;2883602;+;;Q4;LB_0.4
22717;;2883602_+;TSS;2883602;+;;Q4;LB_2.0
22718;;2883885_-;TSS;2883885;-;;Q4;M63_0.4
22719;;2883885_-;TSS;2883885;-;;Q4;LB_0.4
22720;;2883885_-;TSS;2883885;-;;Q4;LB_2.0
22721;;2884174_-;TSS;2884174;-;;Q4;M63_0.4
22722;;2884174_-;TSS;2884174;-;;Q4;LB_2.0
22723;;2884210_-;TSS;2884210;-;;Q4;M63_0.4
22724;;2884210_-;TSS;2884210;-;;Q4;LB_0.4
22725;;2884687_-;TSS;2884687;-;;Q4;M63_0.4
22726;;2884687_-;TSS;2884687;-;;Q4;LB_0.4
22727;;2884687_-;TSS;2884687;-;;Q4;LB_2.0
22728;;2885278_+;TSS;2885278;+;;Q4;M63_0.4
22729;;2885278_+;TSS;2885278;+;;Q4;M63_0.4
22730;;2885278_+;TSS;2885278;+;;Q4;LB_0.4
22731;;2885278_+;TSS;2885278;+;;Q4;LB_0.4
22732;;2885278_+;TSS;2885278;+;;Q4;LB_2.0
22733;;2885278_+;TSS;2885278;+;;Q4;LB_2.0
22734;;2885375_+;TSS;2885375;+;;Q4;M63_0.4
22735;;2885375_+;TSS;2885375;+;;Q4;LB_0.4
22736;;2885375_+;TSS;2885375;+;;Q4;LB_2.0
22737;;2886558_-;TSS;2886558;-;;Q4;LB_0.4
22738;;2886558_-;TSS;2886558;-;;Q4;LB_0.4
22739;;2886558_-;TSS;2886558;-;;Q4;LB_2.0
22740;;2886558_-;TSS;2886558;-;;Q4;LB_2.0
22741;;2886735_-;TSS;2886735;-;;Q4;LB_2.0
22742;;2888604_+;TSS;2888604;+;;Q4;M63_0.4
22743;;2889916_+;TSS;2889916;+;;Q4;M63_0.4
22744;;2889985_-;TSS;2889985;-;;Q4;M63_0.4
22745;;2889985_-;TSS;2889985;-;;Q4;LB_2.0
22746;;2890210_-;TSS;2890210;-;;Q4;M63_0.4
22747;;2890210_-;TSS;2890210;-;;Q4;M63_0.4
22748;;2890210_-;TSS;2890210;-;;Q4;LB_0.4
22749;;2890210_-;TSS;2890210;-;;Q4;LB_0.4
22750;;2890210_-;TSS;2890210;-;;Q4;LB_2.0
22751;;2890210_-;TSS;2890210;-;;Q4;LB_2.0
22752;;2890212_+;TSS;2890212;+;;Q4;M63_0.4
22753;;2890212_+;TSS;2890212;+;;Q4;LB_0.4
22754;;2890212_+;TSS;2890212;+;;Q4;LB_2.0
22755;;2890452_-;TSS;2890452;-;;Q4;M63_0.4
22756;;2890452_-;TSS;2890452;-;;Q4;LB_0.4
22757;;2890452_-;TSS;2890452;-;;Q4;LB_2.0
22758;;2890570_+;TSS;2890570;+;;Q4;M63_0.4
22759;;2890570_+;TSS;2890570;+;;Q4;M63_0.4
22760;;2890570_+;TSS;2890570;+;;Q4;LB_0.4
22761;;2890570_+;TSS;2890570;+;;Q4;LB_0.4
22762;;2890570_+;TSS;2890570;+;;Q4;LB_2.0
22763;;2890570_+;TSS;2890570;+;;Q4;LB_2.0
22764;;2890658_+;TSS;2890658;+;;Q4;LB_2.0
22765;;2891282_+;TSS;2891282;+;;Q4;M63_0.4
22766;;2891333_-;TSS;2891333;-;;Q4;M63_0.4
22767;;2891333_-;TSS;2891333;-;;Q4;LB_0.4
22768;;2891333_-;TSS;2891333;-;;Q4;LB_2.0
22769;;2891352_+;TSS;2891352;+;;Q4;M63_0.4
22770;;2891352_+;TSS;2891352;+;;Q4;LB_0.4
22771;;2891352_+;TSS;2891352;+;;Q4;LB_2.0
22772;;2891714_+;TSS;2891714;+;;Q4;M63_0.4
22773;;2891714_+;TSS;2891714;+;;Q4;M63_0.4
22774;;2891714_+;TSS;2891714;+;;Q4;LB_2.0
22775;;2891714_+;TSS;2891714;+;;Q4;LB_2.0
22776;;2891867_-;TSS;2891867;-;;Q4;LB_2.0
22777;;2891867_-;TSS;2891867;-;;Q4;LB_2.0
22778;;2891895_+;TSS;2891895;+;;Q4;M63_0.4
22779;;2891895_+;TSS;2891895;+;;Q4;M63_0.4
22780;;2891895_+;TSS;2891895;+;;Q4;LB_0.4
22781;;2891895_+;TSS;2891895;+;;Q4;LB_0.4
22782;;2891895_+;TSS;2891895;+;;Q4;LB_2.0
22783;;2891895_+;TSS;2891895;+;;Q4;LB_2.0
22784;;2892401_+;TSS;2892401;+;;Q4;M63_0.4
22785;;2892401_+;TSS;2892401;+;;Q4;LB_2.0
22786;;2893333_+;TSS;2893333;+;;Q4;M63_0.4
22787;;2893333_+;TSS;2893333;+;;Q4;LB_0.4
22788;;2893333_+;TSS;2893333;+;;Q4;LB_2.0
22789;;2893759_-;TSS;2893759;-;;Q4;M63_0.4
22790;;2893759_-;TSS;2893759;-;;Q4;LB_0.4
22791;;2893786_-;TSS;2893786;-;;Q4;M63_0.4
22792;;2893786_-;TSS;2893786;-;;Q4;LB_2.0
22793;;2893788_+;TSS;2893788;+;;Q4;M63_0.4
22794;;2893788_+;TSS;2893788;+;;Q4;M63_0.4
22795;;2893788_+;TSS;2893788;+;;Q4;LB_0.4
22796;;2893788_+;TSS;2893788;+;;Q4;LB_0.4
22797;;2893788_+;TSS;2893788;+;;Q4;LB_2.0
22798;;2893788_+;TSS;2893788;+;;Q4;LB_2.0
22799;;2895599_-;TSS;2895599;-;;Q4;M63_0.4
22800;;2895599_-;TSS;2895599;-;;Q4;LB_0.4
22801;;2895599_-;TSS;2895599;-;;Q4;LB_2.0
22802;;2895998_-;TSS;2895998;-;;Q4;LB_2.0
22803;;2895998_-;TSS;2895998;-;;Q4;LB_2.0
22804;;2896228_-;TSS;2896228;-;;Q4;LB_2.0
22805;;2897068_-;TSS;2897068;-;;Q4;M63_0.4
22806;;2897068_-;TSS;2897068;-;;Q4;LB_0.4
22807;;2897068_-;TSS;2897068;-;;Q4;LB_2.0
22808;;2897308_-;TSS;2897308;-;;Q4;M63_0.4
22809;;2897308_-;TSS;2897308;-;;Q4;LB_0.4
22810;;2897308_-;TSS;2897308;-;;Q4;LB_2.0
22811;;2897995_-;TSS;2897995;-;;Q4;LB_2.0
22812;;2898384_-;TSS;2898384;-;;Q4;M63_0.4
22813;;2898384_-;TSS;2898384;-;;Q4;LB_0.4
22814;;2898384_-;TSS;2898384;-;;Q4;LB_2.0
22815;;2898527_+;TSS;2898527;+;;Q4;M63_0.4
22816;;2898527_+;TSS;2898527;+;;Q4;LB_2.0
22817;;2898713_+;TSS;2898713;+;;Q4;LB_2.0
22818;;2898942_-;TSS;2898942;-;;Q4;M63_0.4
22819;;2898942_-;TSS;2898942;-;;Q4;LB_0.4
22820;;2898942_-;TSS;2898942;-;;Q4;LB_2.0
22821;;2899148_+;TSS;2899148;+;;Q4;M63_0.4
22822;;2899148_+;TSS;2899148;+;;Q4;LB_2.0
22823;;2899155_+;TSS;2899155;+;;Q4;M63_0.4
22824;;2899155_+;TSS;2899155;+;;Q4;LB_2.0
22825;;2899576_-;TSS;2899576;-;;Q4;M63_0.4
22826;;2899576_-;TSS;2899576;-;;Q4;LB_2.0
22827;;2899919_-;TSS;2899919;-;;Q4;M63_0.4
22828;;2899919_-;TSS;2899919;-;;Q4;M63_0.4
22829;;2899919_-;TSS;2899919;-;;Q4;LB_0.4
22830;;2899919_-;TSS;2899919;-;;Q4;LB_0.4
22831;;2899919_-;TSS;2899919;-;;Q4;LB_2.0
22832;;2899919_-;TSS;2899919;-;;Q4;LB_2.0
22833;;2900251_-;TSS;2900251;-;;Q4;M63_0.4
22834;;2900251_-;TSS;2900251;-;;Q4;LB_2.0
22835;;2901464_-;TSS;2901464;-;;Q4;M63_0.4
22836;;2901541_+;TSS;2901541;+;;Q4;M63_0.4
22837;;2901541_+;TSS;2901541;+;;Q4;LB_2.0
22838;;2901617_-;TSS;2901617;-;;Q4;M63_0.4
22839;;2901617_-;TSS;2901617;-;;Q4;LB_0.4
22840;;2901617_-;TSS;2901617;-;;Q4;LB_2.0
22841;;2902008_+;TSS;2902008;+;;Q4;M63_0.4
22842;;2902008_+;TSS;2902008;+;;Q4;LB_2.0
22843;;2902144_-;TSS;2902144;-;;Q4;LB_0.4
22844;;2902427_-;TSS;2902427;-;;Q4;M63_0.4
22845;;2902427_-;TSS;2902427;-;;Q4;LB_0.4
22846;;2902427_-;TSS;2902427;-;;Q4;LB_2.0
22847;;2902483_-;TSS;2902483;-;;Q4;M63_0.4
22848;;2902483_-;TSS;2902483;-;;Q4;LB_0.4
22849;;2902483_-;TSS;2902483;-;;Q4;LB_2.0
22850;;2902601_-;TSS;2902601;-;;Q4;M63_0.4
22851;;2902601_-;TSS;2902601;-;;Q4;LB_0.4
22852;;2902601_-;TSS;2902601;-;;Q4;LB_2.0
22853;;2903464_-;TSS;2903464;-;;Q4;M63_0.4
22854;;2903464_-;TSS;2903464;-;;Q4;LB_0.4
22855;;2903464_-;TSS;2903464;-;;Q4;LB_2.0
22856;;2904516_+;TSS;2904516;+;;Q4;M63_0.4
22857;;2904516_+;TSS;2904516;+;;Q4;LB_0.4
22858;;2904516_+;TSS;2904516;+;;Q4;LB_2.0
22859;;2904763_-;TSS;2904763;-;;Q4;M63_0.4
22860;;2904763_-;TSS;2904763;-;;Q4;LB_2.0
22861;;2904974_+;TSS;2904974;+;;Q4;M63_0.4
22862;;2904974_+;TSS;2904974;+;;Q4;LB_0.4
22863;;2905515_+;TSS;2905515;+;;Q4;M63_0.4
22864;;2905515_+;TSS;2905515;+;;Q4;LB_2.0
22865;;2905691_+;TSS;2905691;+;;Q4;M63_0.4
22866;;2905691_+;TSS;2905691;+;;Q4;LB_2.0
22867;;2905999_+;TSS;2905999;+;;Q4;M63_0.4
22868;;2905999_+;TSS;2905999;+;;Q4;M63_0.4
22869;;2905999_+;TSS;2905999;+;;Q4;LB_0.4
22870;;2905999_+;TSS;2905999;+;;Q4;LB_0.4
22871;;2905999_+;TSS;2905999;+;;Q4;LB_2.0
22872;;2905999_+;TSS;2905999;+;;Q4;LB_2.0
22873;;2906147_+;TSS;2906147;+;;Q4;M63_0.4
22874;;2906460_-;TSS;2906460;-;;Q4;M63_0.4
22875;;2906460_-;TSS;2906460;-;;Q4;LB_0.4
22876;;2906460_-;TSS;2906460;-;;Q4;LB_2.0
22877;;2906498_+;TSS;2906498;+;;Q4;M63_0.4
22878;;2906498_+;TSS;2906498;+;;Q4;LB_0.4
22879;;2906498_+;TSS;2906498;+;;Q4;LB_2.0
22880;;2906901_-;TSS;2906901;-;;Q4;M63_0.4
22881;;2906901_-;TSS;2906901;-;;Q4;LB_0.4
22882;;2906901_-;TSS;2906901;-;;Q4;LB_2.0
22883;;2906923_+;TSS;2906923;+;;Q4;M63_0.4
22884;;2906923_+;TSS;2906923;+;;Q4;LB_0.4
22885;;2907011_-;TSS;2907011;-;;Q4;LB_2.0
22886;;2907738_-;TSS;2907738;-;;Q4;M63_0.4
22887;;2907738_-;TSS;2907738;-;;Q4;LB_0.4
22888;;2907738_-;TSS;2907738;-;;Q4;LB_2.0
22889;;2907835_+;TSS;2907835;+;;Q4;M63_0.4
22890;;2907835_+;TSS;2907835;+;;Q4;LB_0.4
22891;;2907835_+;TSS;2907835;+;;Q4;LB_2.0
22892;;2907899_+;TSS;2907899;+;;Q4;LB_2.0
22893;;2908119_-;TSS;2908119;-;;Q4;LB_0.4
22894;;2908303_+;TSS;2908303;+;;Q4;M63_0.4
22895;;2908303_+;TSS;2908303;+;;Q4;LB_0.4
22896;;2908303_+;TSS;2908303;+;;Q4;LB_2.0
22897;;2908668_-;TSS;2908668;-;;Q4;LB_0.4
22898;;2908868_-;TSS;2908868;-;;Q4;M63_0.4
22899;;2908868_-;TSS;2908868;-;;Q4;M63_0.4
22900;;2908868_-;TSS;2908868;-;;Q4;LB_0.4
22901;;2908868_-;TSS;2908868;-;;Q4;LB_0.4
22902;;2909060_+;TSS;2909060;+;;Q4;M63_0.4
22903;;2909060_+;TSS;2909060;+;;Q4;M63_0.4
22904;;2909074_+;TSS;2909074;+;;Q4;M63_0.4
22905;;2909074_+;TSS;2909074;+;;Q4;M63_0.4
22906;;2909074_+;TSS;2909074;+;;Q4;LB_0.4
22907;;2909074_+;TSS;2909074;+;;Q4;LB_0.4
22908;;2909074_+;TSS;2909074;+;;Q4;LB_2.0
22909;;2909074_+;TSS;2909074;+;;Q4;LB_2.0
22910;;2909827_-;TSS;2909827;-;;Q4;M63_0.4
22911;;2909827_-;TSS;2909827;-;;Q4;LB_2.0
22912;;2910294_+;TSS;2910294;+;;Q4;LB_2.0
22913;;2910841_+;TSS;2910841;+;;Q4;M63_0.4
22914;;2910841_+;TSS;2910841;+;;Q4;LB_0.4
22915;;2910841_+;TSS;2910841;+;;Q4;LB_2.0
22916;;2911084_+;TSS;2911084;+;;Q4;M63_0.4
22917;;2911153_+;TSS;2911153;+;;Q4;LB_0.4
22918;;2911153_+;TSS;2911153;+;;Q4;LB_2.0
22919;;2911387_-;TSS;2911387;-;;Q4;M63_0.4
22920;;2911387_-;TSS;2911387;-;;Q4;LB_0.4
22921;;2911387_-;TSS;2911387;-;;Q4;LB_2.0
22922;;2911818_+;TSS;2911818;+;;Q4;M63_0.4
22923;;2911818_+;TSS;2911818;+;;Q4;LB_0.4
22924;;2911818_+;TSS;2911818;+;;Q4;LB_2.0
22925;;2911851_-;TSS;2911851;-;;Q4;M63_0.4
22926;;2911851_-;TSS;2911851;-;;Q4;M63_0.4
22927;;2911851_-;TSS;2911851;-;;Q4;LB_0.4
22928;;2911851_-;TSS;2911851;-;;Q4;LB_0.4
22929;;2911851_-;TSS;2911851;-;;Q4;LB_2.0
22930;;2911851_-;TSS;2911851;-;;Q4;LB_2.0
22931;;2911857_-;TSS;2911857;-;;Q4;M63_0.4
22932;;2911857_-;TSS;2911857;-;;Q4;M63_0.4
22933;;2911905_+;TSS;2911905;+;;Q4;M63_0.4
22934;;2911905_+;TSS;2911905;+;;Q4;LB_2.0
22935;;2912019_+;TSS;2912019;+;;Q4;M63_0.4
22936;;2912019_+;TSS;2912019;+;;Q4;LB_2.0
22937;;2912299_-;TSS;2912299;-;;Q4;M63_0.4
22938;;2912299_-;TSS;2912299;-;;Q4;LB_0.4
22939;;2912299_-;TSS;2912299;-;;Q4;LB_2.0
22940;;2912340_-;TSS;2912340;-;;Q4;M63_0.4
22941;;2912486_+;TSS;2912486;+;;Q4;M63_0.4
22942;;2912539_+;TSS;2912539;+;;Q4;M63_0.4
22943;;2912539_+;TSS;2912539;+;;Q4;LB_2.0
22944;;2912782_+;TSS;2912782;+;;Q4;M63_0.4
22945;;2912782_+;TSS;2912782;+;;Q4;M63_0.4
22946;;2912782_+;TSS;2912782;+;;Q4;LB_0.4
22947;;2912782_+;TSS;2912782;+;;Q4;LB_0.4
22948;;2912782_+;TSS;2912782;+;;Q4;LB_2.0
22949;;2912782_+;TSS;2912782;+;;Q4;LB_2.0
22950;;2912985_+;TSS;2912985;+;;Q4;M63_0.4
22951;;2912985_+;TSS;2912985;+;;Q4;M63_0.4
22952;;2912985_+;TSS;2912985;+;;Q4;LB_0.4
22953;;2912985_+;TSS;2912985;+;;Q4;LB_0.4
22954;;2912985_+;TSS;2912985;+;;Q4;LB_2.0
22955;;2912985_+;TSS;2912985;+;;Q4;LB_2.0
22956;;2913021_+;TSS;2913021;+;;Q4;LB_2.0
22957;;2913021_+;TSS;2913021;+;;Q4;LB_2.0
22958;;2913051_-;TSS;2913051;-;;Q4;M63_0.4
22959;;2913051_-;TSS;2913051;-;;Q4;M63_0.4
22960;;2913051_-;TSS;2913051;-;;Q4;LB_2.0
22961;;2913051_-;TSS;2913051;-;;Q4;LB_2.0
22962;;2914106_-;TSS;2914106;-;;Q4;LB_0.4
22963;;2914106_-;TSS;2914106;-;;Q4;LB_2.0
22964;;2914304_-;TSS;2914304;-;;Q4;M63_0.4
22965;;2914304_-;TSS;2914304;-;;Q4;LB_0.4
22966;;2914304_-;TSS;2914304;-;;Q4;LB_2.0
22967;;2914362_-;TSS;2914362;-;;Q4;LB_0.4
22968;;2914362_-;TSS;2914362;-;;Q4;LB_2.0
22969;;2914377_+;TSS;2914377;+;;Q4;LB_2.0
22970;;2914379_+;TSS;2914379;+;;Q4;M63_0.4
22971;;2915165_+;TSS;2915165;+;;Q4;M63_0.4
22972;;2915165_+;TSS;2915165;+;;Q4;LB_0.4
22973;;2915564_-;TSS;2915564;-;;Q4;M63_0.4
22974;;2915564_-;TSS;2915564;-;;Q4;LB_0.4
22975;;2915564_-;TSS;2915564;-;;Q4;LB_2.0
22976;;2915810_+;TSS;2915810;+;;Q4;M63_0.4
22977;;2915810_+;TSS;2915810;+;;Q4;LB_0.4
22978;;2915810_+;TSS;2915810;+;;Q4;LB_2.0
22979;;2916107_-;TSS;2916107;-;;Q4;M63_0.4
22980;;2916107_-;TSS;2916107;-;;Q4;LB_2.0
22981;;2916315_-;TSS;2916315;-;;Q4;M63_0.4
22982;;2916315_-;TSS;2916315;-;;Q4;LB_0.4
22983;;2916315_-;TSS;2916315;-;;Q4;LB_2.0
22984;;2916658_-;TSS;2916658;-;;Q4;M63_0.4
22985;;2916658_-;TSS;2916658;-;;Q4;LB_2.0
22986;;2916712_+;TSS;2916712;+;;Q4;M63_0.4
22987;;2916712_+;TSS;2916712;+;;Q4;LB_2.0
22988;;2917060_-;TSS;2917060;-;;Q4;LB_0.4
22989;;2917072_-;TSS;2917072;-;;Q4;M63_0.4
22990;;2917072_-;TSS;2917072;-;;Q4;LB_2.0
22991;;2917281_-;TSS;2917281;-;;Q4;M63_0.4
22992;;2917281_-;TSS;2917281;-;;Q4;LB_0.4
22993;;2917281_-;TSS;2917281;-;;Q4;LB_2.0
22994;;2918262_+;TSS;2918262;+;;Q4;M63_0.4
22995;;2918262_+;TSS;2918262;+;;Q4;LB_2.0
22996;;2918895_-;TSS;2918895;-;;Q4;M63_0.4
22997;;2918895_-;TSS;2918895;-;;Q4;M63_0.4
22998;;2919119_+;TSS;2919119;+;;Q4;M63_0.4
22999;;2919119_+;TSS;2919119;+;;Q4;LB_0.4
23000;;2920797_-;TSS;2920797;-;;Q4;LB_0.4
23001;;2920797_-;TSS;2920797;-;;Q4;LB_2.0
23002;;2920812_+;TSS;2920812;+;;Q4;M63_0.4
23003;;2920812_+;TSS;2920812;+;;Q4;LB_2.0
23004;;2920871_+;TSS;2920871;+;;Q4;M63_0.4
23005;;2920871_+;TSS;2920871;+;;Q4;LB_0.4
23006;;2920871_+;TSS;2920871;+;;Q4;LB_2.0
23007;;2921802_+;TSS;2921802;+;;Q4;M63_0.4
23008;;2921802_+;TSS;2921802;+;;Q4;M63_0.4
23009;;2921802_+;TSS;2921802;+;;Q4;LB_0.4
23010;;2921802_+;TSS;2921802;+;;Q4;LB_0.4
23011;;2921802_+;TSS;2921802;+;;Q4;LB_2.0
23012;;2921802_+;TSS;2921802;+;;Q4;LB_2.0
23013;;2922159_-;TSS;2922159;-;;Q4;M63_0.4
23014;;2922293_-;TSS;2922293;-;;Q4;LB_0.4
23015;;2922293_-;TSS;2922293;-;;Q4;LB_0.4
23016;;2922416_-;TSS;2922416;-;;Q4;LB_0.4
23017;;2922416_-;TSS;2922416;-;;Q4;LB_0.4
23018;;2922546_-;TSS;2922546;-;;Q4;M63_0.4
23019;;2922546_-;TSS;2922546;-;;Q4;LB_0.4
23020;;2922546_-;TSS;2922546;-;;Q4;LB_2.0
23021;;2922642_-;TSS;2922642;-;;Q4;LB_0.4
23022;;2922642_-;TSS;2922642;-;;Q4;LB_2.0
23023;;2923072_-;TSS;2923072;-;;Q4;M63_0.4
23024;;2923072_-;TSS;2923072;-;;Q4;LB_0.4
23025;;2923072_-;TSS;2923072;-;;Q4;LB_2.0
23026;;2923077_-;TSS;2923077;-;;Q4;M63_0.4
23027;;2923145_-;TSS;2923145;-;;Q4;M63_0.4
23028;;2923145_-;TSS;2923145;-;;Q4;LB_0.4
23029;;2923145_-;TSS;2923145;-;;Q4;LB_2.0
23030;;2923190_+;TSS;2923190;+;;Q4;LB_2.0
23031;;2923190_+;TSS;2923190;+;;Q4;LB_2.0
23032;;2923340_+;TSS;2923340;+;;Q4;M63_0.4
23033;;2923340_+;TSS;2923340;+;;Q4;M63_0.4
23034;;2923340_+;TSS;2923340;+;;Q4;LB_0.4
23035;;2923340_+;TSS;2923340;+;;Q4;LB_0.4
23036;;2923340_+;TSS;2923340;+;;Q4;LB_2.0
23037;;2923340_+;TSS;2923340;+;;Q4;LB_2.0
23038;;2923644_+;TSS;2923644;+;;Q4;M63_0.4
23039;;2923644_+;TSS;2923644;+;;Q4;LB_2.0
23040;;2923694_+;TSS;2923694;+;;Q4;LB_2.0
23041;;2924276_-;TSS;2924276;-;;Q4;M63_0.4
23042;;2924276_-;TSS;2924276;-;;Q4;M63_0.4
23043;;2924276_-;TSS;2924276;-;;Q4;LB_0.4
23044;;2924276_-;TSS;2924276;-;;Q4;LB_0.4
23045;;2924276_-;TSS;2924276;-;;Q4;LB_2.0
23046;;2924276_-;TSS;2924276;-;;Q4;LB_2.0
23047;;2924294_+;TSS;2924294;+;;Q4;M63_0.4
23048;;2924294_+;TSS;2924294;+;;Q4;LB_0.4
23049;;2924294_+;TSS;2924294;+;;Q4;LB_2.0
23050;;2924458_-;TSS;2924458;-;;Q4;M63_0.4
23051;;2924458_-;TSS;2924458;-;;Q4;LB_0.4
23052;;2924458_-;TSS;2924458;-;;Q4;LB_2.0
23053;;2924477_+;TSS;2924477;+;;Q4;M63_0.4
23054;;2924477_+;TSS;2924477;+;;Q4;LB_0.4
23055;;2924477_+;TSS;2924477;+;;Q4;LB_2.0
23056;;2925023_-;TSS;2925023;-;;Q4;M63_0.4
23057;;2925079_-;TSS;2925079;-;;Q4;LB_2.0
23058;;2925089_+;TSS;2925089;+;;Q4;LB_2.0
