qid,Len,Den,P13,P14,P15,P16,P17
,1960055_-,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""1960055""","""-""",Q1807,Q10
,1960133_-,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""1960133""","""-""",Q1807,Q10
,1960390_-,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""1960390""","""-""",Q1807,Q10
,1961993_-,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""1961993""","""-""",Q1808,Q10
,1962030_-,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""1962030""","""-""",Q1808,Q10
,1962834_-,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""1962834""","""-""",Q1808,Q10
,1964239_-,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""1964239""","""-""",Q1809,Q10
,1964241_-,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""1964241""","""-""",Q1809,Q12
,1967360_+,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""1967360""","""+""",Q1810,Q10
,1967666_+,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""1967666""","""+""",Q1811,Q10
,1970298_+,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""1970298""","""+""",Q1812,Q12
,1970739_-,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""1970739""","""-""",Q1812,Q10
,1971750_-,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""1971750""","""-""",Q1813,Q10
,1972146_+,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""1972146""","""+""",Q1813,Q10
,1972684_+,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""1972684""","""+""",Q1813,Q10
,1973671_+,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""1973671""","""+""",Q1814,Q10
,1974338_+,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""1974338""","""+""",Q1814,Q10
,1975162_+,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""1975162""","""+""",Q1815,Q12
,1975164_+,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""1975164""","""+""",Q1815,Q10
,1975314_+,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""1975314""","""+""",Q1816,Q10
,1975324_-,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""1975324""","""-""",Q1815,Q10
,1975341_+,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""1975341""","""+""",Q1816,Q11
,1975343_+,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""1975343""","""+""",Q1816,Q10
,1976200_+,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""1976200""","""+""",Q1817,Q10
,1976373_+,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""1976373""","""+""",,Q10
,1976419_-,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""1976419""","""-""",Q1817,Q10
,1976504_-,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""1976504""","""-""",Q1817,Q10
,1976562_+,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""1976562""","""+""",Q1818,Q10
,1977009_+,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""1977009""","""+""",Q1818,Q10
,1977257_-,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""1977257""","""-""",Q1819,Q10
,1977299_-,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""1977299""","""-""",Q1819,Q10
,1977301_-,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""1977301""","""-""",Q1819,Q12
,1977456_+,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""1977456""","""+""",,Q10
,1977620_-,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""1977620""","""-""",,Q10
,1977692_+,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""1977692""","""+""",Q1820,Q10
,1977744_+,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""1977744""","""+""",Q1820,Q10
,1977889_+,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""1977889""","""+""",Q1820,Q10
,1978057_-,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""1978057""","""-""",Q1820,Q12
,1978221_-,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""1978221""","""-""",Q1821,Q10
,1978722_+,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""1978722""","""+""",Q1821,Q10
,1978757_-,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""1978757""","""-""",Q1821,Q10
,1979374_+,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""1979374""","""+""",Q1821,Q10
,1980151_+,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""1980151""","""+""",Q1822,Q11
,1980464_-,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""1980464""","""-""",Q1822,Q10
,1980568_+,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""1980568""","""+""",Q1823,Q10
,1980666_-,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""1980666""","""-""",Q1822,Q10
,1981406_-,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""1981406""","""-""",Q1823,Q10
,1981555_-,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""1981555""","""-""",Q1823,Q10
,1981840_+,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""1981840""","""+""",Q1824,Q12
,1982044_+,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""1982044""","""+""",Q1824,Q10
,1982461_+,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""1982461""","""+""",Q1824,Q10
,1982611_+,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""1982611""","""+""",Q1824,Q12
,1983094_+,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""1983094""","""+""",Q1824,Q10
,1984028_-,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""1984028""","""-""",Q1825,Q11
,1984263_-,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""1984263""","""-""",Q1825,Q12
,1984410_-,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""1984410""","""-""",Q1825,Q10
,1984530_+,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""1984530""","""+""",,Q10
,1984722_+,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""1984722""","""+""",Q1826,Q12
,1984771_+,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""1984771""","""+""",Q1826,Q10
,1984821_+,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""1984821""","""+""",Q1826,Q10
,1985567_+,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""1985567""","""+""",Q1827,Q10
,1985826_+,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""1985826""","""+""",Q1827,Q10
,1985940_-,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""1985940""","""-""",Q1827,Q12
,1986088_-,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""1986088""","""-""",Q1828,Q10
,1986112_+,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""1986112""","""+""",Q1829,Q10
,1986182_-,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""1986182""","""-""",Q1828,Q10
,1986221_+,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""1986221""","""+""",Q1829,Q10
,1986706_+,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""1986706""","""+""",Q1830,Q10
,1986707_-,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""1986707""","""-""",Q1830,Q10
,1987141_-,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""1987141""","""-""",Q1830,Q12
,1987156_-,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""1987156""","""-""",Q1830,Q12
,1987282_-,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""1987282""","""-""",Q1831,Q10
,1987533_-,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""1987533""","""-""",Q1831,Q12
,1987586_-,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""1987586""","""-""",Q1831,Q10
,1988371_+,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""1988371""","""+""",Q1832,Q12
,1989673_-,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""1989673""","""-""",Q1833,Q10
,1989923_-,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""1989923""","""-""",Q1833,Q10
,1990207_-,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""1990207""","""-""",Q1835,Q10
,1990874_-,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""1990874""","""-""",Q1836,Q10
,1991080_+,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""1991080""","""+""",Q1837,Q10
,1991147_+,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""1991147""","""+""",Q1837,Q12
,1991222_+,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""1991222""","""+""",Q1837,Q12
,1991260_-,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""1991260""","""-""",Q1837,Q10
,1992437_+,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""1992437""","""+""",Q1837,Q10
,1992773_+,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""1992773""","""+""",Q1837,Q10
,1992900_-,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""1992900""","""-""",Q1837,Q10
,1993427_-,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""1993427""","""-""",Q1838,Q10
,1993696_-,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""1993696""","""-""",,Q12
,1994258_+,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""1994258""","""+""",Q1839,Q10
,1994658_+,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""1994658""","""+""",Q1839,Q10
,1994904_+,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""1994904""","""+""",Q1839,Q10
,1994917_-,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""1994917""","""-""",Q1839,Q10
,1994934_-,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""1994934""","""-""",Q1839,Q10
,1994945_+,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""1994945""","""+""",Q1839,Q10
,1995550_+,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""1995550""","""+""",Q1840,Q10
,1995647_+,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""1995647""","""+""",Q1840,Q10
,1996502_+,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""1996502""","""+""",Q1841,Q10
,1997532_-,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""1997532""","""-""",Q1842,Q10
,1997611_+,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""1997611""","""+""",Q1843,Q10
,1997996_+,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""1997996""","""+""",Q1843,Q10
,1998414_+,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""1998414""","""+""",Q1843,Q10
,1998434_-,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""1998434""","""-""",Q1843,Q10
,1998491_-,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""1998491""","""-""",Q1843,Q10
,1998500_+,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""1998500""","""+""",Q1843,Q12
,1998511_+,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""1998511""","""+""",Q1844,Q10
,1999334_+,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""1999334""","""+""",Q1845,Q10
,1999812_+,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""1999812""","""+""",Q1845,Q10
,1999831_-,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""1999831""","""-""",Q1845,Q10
,1999843_-,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""1999843""","""-""",Q1845,Q10
,2000731_+,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""2000731""","""+""",Q1846,Q10
,2000772_+,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""2000772""","""+""",Q1846,Q10
,2000881_+,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""2000881""","""+""",Q1846,Q10
,2001043_+,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""2001043""","""+""",Q1846,Q10
,2001093_-,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""2001093""","""-""",Q1846,Q10
,2001649_+,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""2001649""","""+""",Q1847,Q10
,2001699_-,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""2001699""","""-""",Q1846,Q10
,2001817_+,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""2001817""","""+""",Q1847,Q10
,2001838_+,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""2001838""","""+""",Q1847,Q10
,2001860_+,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""2001860""","""+""",Q1847,Q10
,2002675_-,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""2002675""","""-""",Q1847,Q10
,2003203_-,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""2003203""","""-""",Q1847,Q10
,2003790_-,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""2003790""","""-""",Q1848,Q10
,2004156_+,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""2004156""","""+""",Q1850,Q10
,2004478_-,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""2004478""","""-""",Q1850,Q10
,2004627_-,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""2004627""","""-""",Q1850,Q10
,2005020_+,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""2005020""","""+""",Q1850,Q10
,2005285_+,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""2005285""","""+""",Q1850,Q10
,2006140_-,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""2006140""","""-""",Q1851,Q10
,2006264_+,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""2006264""","""+""",Q1852,Q10
,2006511_+,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""2006511""","""+""",Q1852,Q10
,2007197_+,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""2007197""","""+""",Q1852,Q10
,2007539_+,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""2007539""","""+""",Q1853,Q11
,2007638_-,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""2007638""","""-""",Q1853,Q10
,2007655_+,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""2007655""","""+""",Q1854,Q10
,2007772_-,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""2007772""","""-""",Q1853,Q10
,2007826_+,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""2007826""","""+""",Q1854,Q12
,2008754_+,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""2008754""","""+""",Q1855,Q10
,2009764_-,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""2009764""","""-""",Q1856,Q12
,2010078_-,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""2010078""","""-""",Q1856,Q10
,2010091_+,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""2010091""","""+""",Q1856,Q10
,2010222_+,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""2010222""","""+""",Q1856,Q10
,2010633_-,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""2010633""","""-""",Q1856,Q12
,2011167_+,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""2011167""","""+""",Q1858,Q10
,2011804_-,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""2011804""","""-""",Q1858,Q10
,2017609_+,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""2017609""","""+""",Q1859,Q10
,2018087_-,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""2018087""","""-""",Q1859,Q10
,2021162_-,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""2021162""","""-""",Q1861,Q10
,2021539_-,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""2021539""","""-""",Q1861,Q10
,2021759_-,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""2021759""","""-""",Q1861,Q12
,2021860_+,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""2021860""","""+""",Q1862,Q10
,2022507_-,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""2022507""","""-""",Q1862,Q10
,2022550_+,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""2022550""","""+""",Q1862,Q11
,2022607_+,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""2022607""","""+""",Q1862,Q12
,2022951_+,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""2022951""","""+""",Q1864,Q10
,2022978_-,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""2022978""","""-""",Q1863,Q10
,2023334_-,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""2023334""","""-""",Q1865,Q10
,2023368_-,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""2023368""","""-""",Q1865,Q10
,2023546_+,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""2023546""","""+""",Q1866,Q10
,2024021_+,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""2024021""","""+""",Q1866,Q10
,2024039_-,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""2024039""","""-""",Q1866,Q10
,2025834_+,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""2025834""","""+""",Q1867,Q10
,2026106_-,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""2026106""","""-""",Q1867,Q10
,2026115_-,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""2026115""","""-""",Q1867,Q10
,2026122_+,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""2026122""","""+""",Q1867,Q12
,2026130_+,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""2026130""","""+""",Q1867,Q10
,2026218_+,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""2026218""","""+""",Q1868,Q10
,2026247_-,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""2026247""","""-""",Q1867,Q10
,2026350_-,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""2026350""","""-""",Q1868,Q10
,2026420_-,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""2026420""","""-""",Q1868,Q12
,2026448_-,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""2026448""","""-""",Q1868,Q10
,2027413_-,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""2027413""","""-""",Q1869,Q10
,2027536_+,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""2027536""","""+""",Q1870,Q10
,2028307_+,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""2028307""","""+""",Q1870,Q12
,2028725_-,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""2028725""","""-""",Q1871,Q12
,2028817_+,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""2028817""","""+""",Q1871,Q10
,2029921_-,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""2029921""","""-""",Q1872,Q10
,2029941_+,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""2029941""","""+""",Q1872,Q10
,2030098_+,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""2030098""","""+""",Q1872,Q10
,2030364_-,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""2030364""","""-""",Q1872,Q10
,2030388_+,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""2030388""","""+""",Q1872,Q12
,2030574_+,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""2030574""","""+""",Q1873,Q10
,2030578_-,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""2030578""","""-""",Q1872,Q10
,2030731_-,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""2030731""","""-""",Q1873,Q10
,2030938_+,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""2030938""","""+""",Q1873,Q10
,2031123_-,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""2031123""","""-""",Q1873,Q10
,2031495_-,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""2031495""","""-""",Q1874,Q10
,2031702_+,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""2031702""","""+""",Q1875,Q10
,2032044_-,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""2032044""","""-""",Q1876,Q10
,2032159_+,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""2032159""","""+""",Q1876,Q12
,2032421_+,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""2032421""","""+""",Q1876,Q10
,2032865_+,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""2032865""","""+""",Q1876,Q10
,2033222_-,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""2033222""","""-""",Q1876,Q10
,2033245_-,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""2033245""","""-""",Q1876,Q10
,2033274_+,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""2033274""","""+""",,Q10
,2033419_-,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""2033419""","""-""",,Q10
,2033655_+,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""2033655""","""+""",Q1877,Q10
,2033804_+,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""2033804""","""+""",Q1877,Q11
,2034680_+,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""2034680""","""+""",Q1877,Q10
,2035564_+,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""2035564""","""+""",Q1878,Q10
,2035678_-,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""2035678""","""-""",Q1878,Q11
,2035681_-,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""2035681""","""-""",Q1878,Q10
,2036044_-,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""2036044""","""-""",Q1878,Q10
,2036359_+,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""2036359""","""+""",Q1879,Q10
,2036397_-,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""2036397""","""-""",Q1878,Q10
,2036430_+,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""2036430""","""+""",Q1879,Q11
,2036847_-,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""2036847""","""-""",Q1879,Q10
,2036858_-,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""2036858""","""-""",Q1879,Q10
,2037306_-,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""2037306""","""-""",Q1880,Q10
,2037442_-,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""2037442""","""-""",Q1880,Q11
,2037480_-,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""2037480""","""-""",Q1880,Q10
,2037773_+,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""2037773""","""+""",Q1881,Q10
,2037895_+,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""2037895""","""+""",Q1881,Q10
,2038507_+,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""2038507""","""+""",Q1882,Q10
,2038757_+,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""2038757""","""+""",Q1882,Q10
,2038981_+,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""2038981""","""+""",Q1882,Q10
,2039207_-,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""2039207""","""-""",Q1882,Q11
,2039347_-,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""2039347""","""-""",Q1883,Q10
,2039360_-,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""2039360""","""-""",Q1883,Q10
,2039697_+,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""2039697""","""+""",Q1883,Q10
,2040078_-,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""2040078""","""-""",Q1883,Q11
,2040485_-,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""2040485""","""-""",Q1884,Q10
,2040839_+,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""2040839""","""+""",Q1884,Q10
,2040945_+,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""2040945""","""+""",,Q12
,2041114_+,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""2041114""","""+""",,Q10
,2041118_+,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""2041118""","""+""",,Q10
,2041280_-,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""2041280""","""-""",,Q10
,2041380_-,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""2041380""","""-""",,Q11
,2041439_+,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""2041439""","""+""",Q1885,Q10
,2041589_-,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""2041589""","""-""",Q1885,Q10
,2041612_-,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""2041612""","""-""",Q1885,Q10
,2041628_+,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""2041628""","""+""",Q1886,Q10
,2041729_-,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""2041729""","""-""",Q1885,Q12
,2041984_+,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""2041984""","""+""",Q1886,Q10
,2042562_+,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""2042562""","""+""",Q1887,Q10
,2042573_+,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""2042573""","""+""",Q1887,Q10
,2042792_-,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""2042792""","""-""",,Q10
,2043541_-,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""2043541""","""-""",Q1888,Q10
